date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-03-01 00:00:00,4.1,0,8,0,,234,9.2,,1006.9,
2024-03-02 00:00:00,7,3,13,2.3,,93,7.9,,1004.3,
2024-03-03 00:00:00,7.6,0,17,0,,136,10.3,,999.8,
2024-03-04 00:00:00,5.5,1,8,0.1,,256,10.6,,1008.2,
2024-03-05 00:00:00,5.8,4,8,2.5,,246,10,,1013.7,
2024-03-06 00:00:00,3.2,2,5,17.4,,236,11.2,,1018.4,
2024-03-07 00:00:00,2.9,0,6,0.1,,34,10.6,,1019.5,
2024-03-08 00:00:00,2.5,-2,9,0,,75,13.4,,1012.5,
2024-03-09 00:00:00,6.1,-3,15,0,,119,8.7,,1003.1,
2024-03-10 00:00:00,9.2,1,17,1.6,,135,15,,995.9,
2024-03-11 00:00:00,6.6,1,12,0,,233,9.3,,1006.3,
2024-03-12 00:00:00,5.8,3,8,1.6,,240,16.4,,1016.6,
2024-03-13 00:00:00,6.5,4,10,5.1,,221,12.2,,1018.9,
2024-03-14 00:00:00,8.9,3,16,0,,186,4.8,,1015.9,
2024-03-15 00:00:00,10,4,16,0.1,,222,16.8,,1014.8,
2024-03-16 00:00:00,9,6,12,2.6,,234,21.9,,1019.9,
2024-03-17 00:00:00,8.8,4,13,0.1,,227,5.6,,1021.7,
2024-03-18 00:00:00,8.5,7,10,8.2,,245,10.4,,1016.4,
2024-03-19 00:00:00,8.8,6,14,0.2,,163,7.7,,1019.4,
2024-03-20 00:00:00,8.2,0,16,0,,90,4.7,,1020,
2024-03-21 00:00:00,8.2,3,14,7.4,,222,13.6,,1022.1,
2024-03-22 00:00:00,9.1,1,17,0,,221,8,,1019.2,
2024-03-23 00:00:00,6.7,2,12,5.7,,237,18.2,,1010.8,
2024-03-24 00:00:00,2.9,1,5,4.7,,242,22.7,,1009.1,
2024-03-25 00:00:00,5.4,2,10,0,,188,16.8,,1006.3,
2024-03-26 00:00:00,6.1,-3,15,0,,83,9,,994.7,
2024-03-27 00:00:00,8.8,3,21,8,,199,12.7,,987.7,
2024-03-28 00:00:00,4.9,0,11,2,,192,16.6,,995.8,
2024-03-29 00:00:00,12.5,4,21,0,,150,17.7,,1000.9,
2024-03-30 00:00:00,15.4,10,22,0,,148,16.5,,1000,
2024-03-31 00:00:00,12,4,21,0,,153,12.1,,998.6,
2024-04-01 00:00:00,10,7,17,2.3,,203,22.3,,999.8,
2024-04-02 00:00:00,8.2,5,11,0.5,,242,25.8,,1011.8,
2024-04-03 00:00:00,7,2,12,3.5,,213,11.9,,1012.2,
2024-04-04 00:00:00,12,8,16,2.7,,233,21.5,,1015.5,
2024-04-05 00:00:00,15,9,23,0,,206,10.2,,1017.7,
2024-04-06 00:00:00,17.5,10,26,0,,197,6.9,,1018.8,
2024-04-07 00:00:00,17.4,9,25,0,,197,10,,1018.5,
2024-04-08 00:00:00,18.7,11,28,0,,152,7,,1012.5,
2024-04-09 00:00:00,13.4,5,19,1.7,,228,17.2,,1013.9,
2024-04-10 00:00:00,6.8,3,11,2.6,,229,10,,1027.9,
2024-04-11 00:00:00,7.4,0,14,0,,58,6.5,,1032.5,
2024-04-12 00:00:00,11,3,19,0,,202,6.5,,1032.5,
2024-04-13 00:00:00,14.3,4,23,0,,204,6.1,,1028.2,
2024-04-14 00:00:00,17.1,8,24,0,,239,14.6,,1021.5,
2024-04-15 00:00:00,13.3,11,16,13.9,,237,15.3,,1010.9,
2024-04-16 00:00:00,6.1,2,11,4.6,,253,30.4,,1007.9,
2024-04-17 00:00:00,3.7,1,6,10.3,,262,16.9,,1008,
2024-04-18 00:00:00,2.5,0,5,2,,253,10.4,,1014,
2024-04-19 00:00:00,3.7,2,6,5.2,,235,27.7,,1013.7,
2024-04-20 00:00:00,3.5,2,7,3.4,,272,18,,1015.1,
2024-04-21 00:00:00,2.5,1,5,6.9,,257,10.7,,1016.3,
2024-04-22 00:00:00,2.6,0,5,3.5,,26,15.6,,1017.2,
2024-04-23 00:00:00,1.7,0,4,2,,18,13.7,,1013.8,
2024-04-24 00:00:00,3.3,2,7,5.7,,229,18.1,,1009.1,
2024-04-25 00:00:00,4.1,1,9,0.2,,239,15.6,,1007.8,
2024-04-26 00:00:00,8,-1,16,0,,150,6.7,,1006.9,
2024-04-27 00:00:00,10.9,1,18,0,,158,10.4,,1009.3,
2024-04-28 00:00:00,15.3,9,22,0,,177,13.8,,1013,
2024-04-29 00:00:00,13.6,4,21,0,,50,9.5,,1020.1,
2024-04-30 00:00:00,17.2,8,26,0,,168,8.8,,1015.2,
2024-05-01 00:00:00,17.3,7,24,0,,119,11,,1006.4,
2024-05-02 00:00:00,14.8,9,22,1,,31,10.3,,1001,
2024-05-03 00:00:00,10,8,12,0.2,,241,19.5,,1013.4,
2024-05-04 00:00:00,12,6,18,0.7,,82,9,,1015,
2024-05-05 00:00:00,13.7,8,20,0.1,,217,13.1,,1012.3,
2024-05-06 00:00:00,12.9,7,20,11.6,,237,11.3,,1009.7,
2024-05-07 00:00:00,12,10,15,1,,293,11.2,,1014.8,
2024-05-08 00:00:00,9.6,9,11,5.8,,320,10.7,,1022,
2024-05-09 00:00:00,11.9,6,16,0.6,,37,8.9,,1024.5,
2024-05-10 00:00:00,11.7,2,19,0,,62,8.7,,1022,
2024-05-11 00:00:00,12.9,3,20,0,,76,8.6,,1020.6,
2024-05-12 00:00:00,14.5,5,22,0,,56,8.9,,1017.8,
2024-05-13 00:00:00,14.3,6,21,1.7,,238,6.4,,1014.3,
2024-05-14 00:00:00,15.4,6,23,0,,91,11.3,,1008.4,
2024-05-15 00:00:00,15.2,8,21,4.5,,76,8.7,,1005.7,
2024-05-16 00:00:00,16.2,12,22,1.7,,358,11,,1005,
2024-05-17 00:00:00,11.8,9,14,5.1,,233,23.5,,1007.8,
2024-05-18 00:00:00,15.4,10,21,1.2,,227,14.1,,1011.7,
2024-05-19 00:00:00,14.8,10,20,0.6,,216,9.5,,1012.5,
2024-05-20 00:00:00,16.1,7,22,0,,63,8.9,,1010.7,
2024-05-21 00:00:00,13.4,12,16,4.4,,235,14.6,,1007.5,
2024-05-22 00:00:00,13.9,10,17,1,,238,14.9,,1012.4,
2024-05-23 00:00:00,12.8,9,18,6.6,,252,11.1,,1016.3,
2024-05-24 00:00:00,12.6,7,19,1.7,,260,10.3,,1018.1,
2024-05-25 00:00:00,12.2,6,18,8.8,,173,7.6,,1018.4,
2024-05-26 00:00:00,15.4,7,22,0,,152,6.2,,1018.9,
2024-05-27 00:00:00,15.8,11,21,10.6,,316,10.6,,1018.4,
2024-05-28 00:00:00,12.7,9,16,4.3,,232,11.9,,1020.1,
2024-05-29 00:00:00,13.6,7,20,0.4,,202,8.7,,1015.8,
2024-05-30 00:00:00,14,12,19,18.8,,219,11.8,,1007.9,
2024-05-31 00:00:00,10.5,9,12,34.3,,230,17.7,,1007.8,
2024-06-01 00:00:00,10.8,9,12,57.2,,244,26.2,,1012.7,
2024-06-02 00:00:00,13.1,11,18,13.1,,235,12.5,,1017.9,
2024-06-03 00:00:00,13.5,12,15,20.5,,335,11.6,,1016.8,
2024-06-04 00:00:00,15.5,10,21,0,,274,5.4,,1015.6,
2024-06-05 00:00:00,16.8,10,23,0.2,,228,13.4,,1015,
2024-06-06 00:00:00,18.3,12,25,1.3,,224,9.2,,1017.3,
2024-06-07 00:00:00,17,12,22,1.6,,219,7.7,,1018.4,
2024-06-08 00:00:00,17.5,11,25,4.3,,213,8.8,,1014.5,
2024-06-09 00:00:00,17.2,14,21,13,,261,8.2,,1009.4,
2024-06-10 00:00:00,15.8,13,21,33.2,,256,13.4,,1008.3,
2024-06-11 00:00:00,11.3,8,15,0,,305,8.6,,1014.9,
2024-06-12 00:00:00,12.6,8,17,0.1,,119,6.7,,1017.5,
2024-06-13 00:00:00,13,9,18,0.6,,282,7.2,,1017.5,
2024-06-14 00:00:00,13.8,7,20,0.5,,198,7.7,,1014.5,
2024-06-15 00:00:00,14.3,11,18,5.2,,201,11.8,,1011,
2024-06-16 00:00:00,16.9,12,23,1.4,,190,7.8,,1012.8,
2024-06-17 00:00:00,19,13,26,4.9,,247,9.9,,1015.9,
2024-06-18 00:00:00,21.2,12,30,0,,120,6.2,,1016,
2024-06-19 00:00:00,22.7,15,28,0,,332,9.4,,1015.8,
2024-06-20 00:00:00,20.6,16,25,0.3,,51,8.4,,1019.5,
2024-06-21 00:00:00,18.8,14,22,22.2,,231,13,,1016.8,
2024-06-22 00:00:00,16.1,12,22,12.7,,256,14.7,,1016.5,
2024-06-23 00:00:00,14.7,11,21,2.3,,186,10.5,,1018.9,
2024-06-24 00:00:00,19,12,24,0,,79,13.8,,1018.1,
2024-06-25 00:00:00,20.3,14,26,1.1,,45,13.5,,1013.5,
2024-06-26 00:00:00,18.7,15,25,5.2,,241,11.9,,1012,
2024-06-27 00:00:00,20.2,16,25,23.1,,224,12.6,,1013.4,
2024-06-28 00:00:00,22.9,18,28,1.8,,241,15.1,,1017.9,
2024-06-29 00:00:00,24.5,17,32,0.3,,113,7.6,,1014.8,
2024-06-30 00:00:00,21.2,17,24,5.1,,246,15.6,,1011.7,
2024-07-01 00:00:00,16.3,13,21,4.4,,254,10.3,,1015.9,
2024-07-02 00:00:00,14.9,13,18,1.1,,266,11,,1016.1,
2024-07-03 00:00:00,13.2,11,15,11.2,,259,12.2,,1012.5,
2024-07-04 00:00:00,15.3,11,20,0.6,,241,19.7,,1013.1,
2024-07-05 00:00:00,18.3,13,24,0.2,,208,10,,1015.4,
2024-07-06 00:00:00,19.7,12,29,9.9,,211,8,,1009.9,
2024-07-07 00:00:00,14.5,13,17,23.9,,18,8.6,,1016.4,
2024-07-08 00:00:00,18,15,23,0.2,,75,7.3,,1018.9,
2024-07-09 00:00:00,21.3,13,29,0,,93,7.4,,1018.2,
2024-07-10 00:00:00,21.5,18,27,6.7,,222,9.6,,1018.7,
2024-07-11 00:00:00,21.4,17,27,0.2,,234,6.8,,1018.9,
2024-07-12 00:00:00,20.4,16,25,15.4,,174,7.9,,1013.5,
2024-07-13 00:00:00,16.8,15,19,10.7,,247,9,,1015,
2024-07-14 00:00:00,18.7,12,25,0.4,,201,7.1,,1015.7,
2024-07-15 00:00:00,22.6,14,30,0,,124,8.6,,1014.3,
2024-07-16 00:00:00,21,18,25,8.5,,247,12.5,,1016.1,
2024-07-17 00:00:00,18.8,16,21,0.6,,74,5.2,,1022.4,
2024-07-18 00:00:00,19.5,12,26,0,,75,8.7,,1022.4,
2024-07-19 00:00:00,21.8,14,28,0.1,,27,6.7,,1019.8,
2024-07-20 00:00:00,21.8,18,28,2.7,,195,9.9,,1013.7,
2024-07-21 00:00:00,20.7,15,29,7.2,,225,9.6,,1011.2,
2024-07-22 00:00:00,19,16,22,9.6,,230,12,,1018.1,
2024-07-23 00:00:00,19.6,16,24,8.1,,263,9,,1020.8,
2024-07-24 00:00:00,18.3,15,22,8.2,,276,10.9,,1020.3,
2024-07-25 00:00:00,18.2,12,24,0,,61,5.1,,1016.8,
2024-07-26 00:00:00,20,12,27,0,,231,6.9,,1014.7,
2024-07-27 00:00:00,22.7,15,30,0,,253,8.5,,1016.2,
2024-07-28 00:00:00,18.6,14,22,4.9,,265,8.1,,1024,
2024-07-29 00:00:00,18,10,25,0,,70,7.6,,1024,
2024-07-30 00:00:00,20.2,10,29,0,,84,4.6,,1020,
2024-07-31 00:00:00,23.2,16,31,0.2,,227,8.9,,1016.4,
2024-08-01 00:00:00,20.8,16,26,3.4,,218,12,,1014.4,
2024-08-02 00:00:00,20.2,15,22,1.6,,239,14.1,,1013.5,
2024-08-03 00:00:00,19.5,15,24,1.1,,238,9.2,,1014.4,
2024-08-04 00:00:00,19.2,16,23,11.3,,262,11.1,,1016.5,
2024-08-05 00:00:00,19.1,15,23,0.6,,284,6.9,,1016.6,
2024-08-06 00:00:00,20,12,27,0,,83,4.5,,1014.5,
2024-08-07 00:00:00,20.2,16,25,5.2,,221,9.6,,1015,
2024-08-08 00:00:00,18.6,15,23,4.7,,233,6.5,,1018,
2024-08-09 00:00:00,19.6,13,26,0,,225,6.9,,1020.3,
2024-08-10 00:00:00,22,16,28,0,,236,7.1,,1022.8,
2024-08-11 00:00:00,22.4,15,30,0,,75,7.8,,1021.6,
2024-08-12 00:00:00,23.5,17,30,0,,77,4.9,,1016.1,
2024-08-13 00:00:00,23.3,18,31,4.3,,155,9.9,,1013.7,
2024-08-14 00:00:00,20.7,14,29,0,,214,9.9,,1014.4,
2024-08-15 00:00:00,20.5,14,26,0,,109,6.1,,1019.2,
2024-08-16 00:00:00,22.4,17,28,2.2,,179,5,,1018.5,
2024-08-17 00:00:00,20.8,18,25,4.3,,260,7.2,,1015.7,
2024-08-18 00:00:00,18.4,16,21,27.2,,260,9.9,,1011.4,
2024-08-19 00:00:00,15.2,14,17,15.6,,295,14.5,,1017.3,
2024-08-20 00:00:00,16.3,15,20,0.2,,117,6.8,,1015.3,
2024-08-21 00:00:00,16.8,11,20,0.8,,251,12.7,,1018.2,
2024-08-22 00:00:00,15.8,8,24,0,,145,4.6,,1016.7,
2024-08-23 00:00:00,19.2,12,27,0,,206,8.6,,1015.4,
2024-08-24 00:00:00,21.8,13,31,0,,149,7.3,,1015.8,
2024-08-25 00:00:00,16.5,12,23,2,,252,11.5,,1020.6,
2024-08-26 00:00:00,13.4,10,16,0,,44,6.6,,1021.9,
2024-08-27 00:00:00,16.7,12,22,,,80,10,,,
2024-08-28 00:00:00,19.6,12,29,,,,5.2,,,
2024-08-29 00:00:00,20.8,13,30,,,,5.8,,,
2024-08-30 00:00:00,20.6,12,29,,,,7,,,
2024-08-31 00:00:00,20.6,13,28,,,,7.4,,,
